iter	Logloss
0	0.6397136775
1	0.597274157
2	0.566211598
3	0.5407822714
4	0.5199332724
5	0.5044606976
6	0.4919839878
7	0.4836756455
8	0.4755455929
9	0.4694703203
10	0.4631311618
11	0.4580136826
12	0.4544582373
13	0.4513254564
14	0.4494550636
15	0.4471201822
16	0.4453117355
17	0.4439555919
18	0.4424330681
19	0.4411964844
20	0.4402539375
21	0.439141253
22	0.438246318
23	0.4373908904
24	0.4364047419
25	0.4357433633
26	0.4349720514
27	0.4344414184
28	0.434040581
29	0.4333778155
30	0.4330528395
31	0.4325551459
32	0.4322480434
33	0.4314649076
34	0.4311165845
35	0.4308246964
36	0.4304691552
37	0.4303351114
38	0.4300374263
39	0.4297621391
40	0.4294201118
41	0.4290744136
42	0.4287038433
43	0.4284927604
44	0.4282440442
45	0.4277683137
46	0.4275193416
47	0.4273059683
48	0.4269752064
49	0.4264943686
50	0.4262994652
51	0.4260889629
52	0.4258126672
53	0.4255038878
54	0.425285177
55	0.4251317826
56	0.4247954858
57	0.424593159
58	0.424338211
59	0.4238790535
60	0.4236222438
61	0.4231741959
62	0.4230970154
63	0.4228216537
64	0.4226194218
65	0.422409283
66	0.4222239559
67	0.4218615288
68	0.4216133107
69	0.4214649115
70	0.4211660851
71	0.4209888531
72	0.4206506259
73	0.4204204063
74	0.4201054066
75	0.4197658396
76	0.4195512696
77	0.41926068
78	0.4189416382
79	0.4186789141
80	0.4184907403
81	0.418246042
82	0.4180369594
83	0.4178810581
84	0.4176609668
85	0.417493591
86	0.4171060342
87	0.4168606668
88	0.4165865412
89	0.4163201208
90	0.4161064215
91	0.4158743511
92	0.4156938129
93	0.4154364963
94	0.4152403831
95	0.4149942206
96	0.414620436
97	0.4143836037
98	0.4141984068
99	0.413970255
