iter	Passed	Remaining
0	18	1826
1	32	1604
2	51	1656
3	61	1485
4	77	1474
5	93	1466
6	108	1437
7	123	1417
8	138	1401
9	152	1372
10	169	1369
11	177	1300
12	194	1299
13	211	1298
14	226	1286
15	239	1255
16	250	1223
17	264	1204
18	280	1196
19	294	1179
20	311	1170
21	321	1140
22	337	1130
23	352	1114
24	367	1101
25	378	1075
26	398	1076
27	418	1075
28	434	1064
29	448	1045
30	460	1025
31	476	1011
32	487	990
33	506	983
34	520	967
35	535	951
36	548	933
37	563	919
38	578	905
39	592	888
40	607	874
41	629	869
42	644	853
43	657	837
44	671	820
45	684	804
46	697	786
47	713	773
48	723	753
49	739	739
50	754	724
51	769	710
52	782	694
53	800	681
54	820	670
55	830	652
56	847	639
57	857	620
58	873	607
59	885	590
60	902	576
61	917	562
62	930	546
63	941	529
64	956	515
65	970	499
66	982	483
67	993	467
68	1008	453
69	1024	439
70	1037	423
71	1047	407
72	1062	392
73	1073	377
74	1087	362
75	1103	348
76	1120	334
77	1136	320
78	1148	305
79	1164	291
80	1179	276
81	1191	261
82	1205	246
83	1219	232
84	1236	218
85	1255	204
86	1265	189
87	1278	174
88	1295	160
89	1309	145
90	1337	132
91	1349	117
92	1363	102
93	1379	88
94	1392	73
95	1408	58
96	1421	43
97	1437	29
98	1449	14
99	1466	0
